week_ending,influenza_season,estimate,mmwr_year,mmwr_week,as_of_date,race_and_ethnicity,current_season_week_ending_label
2020-08-15T00:00:00.000,2020-2021,0.4849999999999999,2020,33,,Overall,2025-08-09 00:00:00.0000000
2020-08-22T00:00:00.000,2020-2021,1.72,2020,34,,Overall,2025-08-16 00:00:00.0000000
2020-08-29T00:00:00.000,2020-2021,3.49,2020,35,,Overall,2025-08-23 00:00:00.0000000
2020-09-05T00:00:00.000,2020-2021,6.370000000000001,2020,36,,Overall,2025-08-30 00:00:00.0000000
2020-09-12T00:00:00.000,2020-2021,10.33,2020,37,,Overall,2025-09-06 00:00:00.0000000
2020-09-19T00:00:00.000,2020-2021,15.96,2020,38,,Overall,2025-09-13 00:00:00.0000000
2020-09-26T00:00:00.000,2020-2021,22.02,2020,39,,Overall,2025-09-20 00:00:00.0000000
2020-10-03T00:00:00.000,2020-2021,28.58,2020,40,,Overall,2025-09-27 00:00:00.0000000
2020-10-10T00:00:00.000,2020-2021,35.54,2020,41,,Overall,2025-10-04 00:00:00.0000000
2020-10-17T00:00:00.000,2020-2021,41.260000000000005,2020,42,,Overall,2025-10-11 00:00:00.0000000
2020-10-24T00:00:00.000,2020-2021,45.86,2020,43,,Overall,2025-10-18 00:00:00.0000000
2020-10-31T00:00:00.000,2020-2021,49.09,2020,44,,Overall,2025-10-25 00:00:00.0000000
2020-11-07T00:00:00.000,2020-2021,51.190000000000005,2020,45,,Overall,2025-11-01 00:00:00.0000000
2020-11-14T00:00:00.000,2020-2021,52.82,2020,46,,Overall,2025-11-08 00:00:00.0000000
2020-11-21T00:00:00.000,2020-2021,54.1,2020,47,,Overall,2025-11-15 00:00:00.0000000
2020-11-28T00:00:00.000,2020-2021,54.67,2020,48,,Overall,2025-11-22 00:00:00.0000000
2020-12-05T00:00:00.000,2020-2021,55.36,2020,49,,Overall,2025-11-29 00:00:00.0000000
2020-12-12T00:00:00.000,2020-2021,55.92,2020,50,,Overall,2025-12-06 00:00:00.0000000
